modelo;imagem;confidence;x;y;largura;altura;tempo_ms
smartfirewatch_modelo_3/1;65.jpg;0.28747862577438354;2197;1191.5;474;197;544
smartfirewatch_modelo_3/1;66.jpg;0.45768463611602783;2536.5;772.5;497;201;514
smartfirewatch_modelo_3/1;67.jpg;0.5606963038444519;1963;975.5;412;213;575
smartfirewatch_modelo_3/1;68.jpg;0.2929869294166565;2214;642;324;204;537
smartfirewatch_modelo_3/1;69.jpg;0.7805750966072083;545.5;698;281;232;1848
smartfirewatch_modelo_3/1;7.jpg;0.495479941368103;630.5;687.5;67;101;993
smartfirewatch_modelo_3/1;70.jpg;0.7714523077011108;540.5;708.5;213;181;536
smartfirewatch_modelo_3/1;71.jpg;0.7721060514450073;529;720;226;170;685
smartfirewatch_modelo_3/1;72.jpg;0.7796388864517212;544.5;717;193;182;495
smartfirewatch_modelo_3/1;73.jpg;0.7811256051063538;542;720.5;212;175;
smartfirewatch_modelo_3/1;8.jpg;0.6051467061042786;623;689.5;90;123;542
smartfirewatch_modelo_3/1;9.jpg;0.5775375962257385;630.5;682;75;108;762
smartfirewatch_modelo_4-mdrcv/1;1.jpg;0.910798192024231;706;691;162;176;4496
smartfirewatch_modelo_4-mdrcv/1;10.jpg;0.6287965774536133;638;687;38;74;655
smartfirewatch_modelo_4-mdrcv/1;11.jpg;0.8335541486740112;604.5;702;75;110;2145
smartfirewatch_modelo_4-mdrcv/1;12.jpg;0.7818742394447327;698.5;684;109;136;1159
smartfirewatch_modelo_4-mdrcv/1;13.jpg;0.9119074940681458;686;648;144;212;619
smartfirewatch_modelo_4-mdrcv/1;14.jpg;0.8840054273605347;698;671;148;186;17451
smartfirewatch_modelo_4-mdrcv/1;15.jpg;0.8814369440078735;691.5;685;143;184;810
smartfirewatch_modelo_4-mdrcv/1;16.jpg;0.910798192024231;706;691;162;176;474
smartfirewatch_modelo_4-mdrcv/1;17.jpg;0.6313464045524597;571;749.5;96;121;597
